"","date","object","weight_lbs"
"153",2018-10-18,"raisin",18.875
"154",2018-10-18,"simone",10.75
"155",2018-10-18,"gagne",10.8125
"156",2018-10-18,"std",20.975
"157",2018-10-22,"raisin",18.625
"158",2018-10-22,"simone",10.25
"159",2018-10-22,"gagne",10.3125
"160",2018-10-22,"std",NA
"161",2018-10-23,"raisin",18.5
"162",2018-10-23,"simone",10.5
"163",2018-10-23,"gagne",10.5
"164",2018-10-23,"std",20.975
"165",2018-10-24,"raisin",18.4375
"166",2018-10-24,"simone",10.75
"167",2018-10-24,"gagne",10.5625
"168",2018-10-24,"std",20.975
"169",2018-10-25,"raisin",18.4375
"170",2018-10-25,"simone",10.5
"171",2018-10-25,"gagne",10.5625
"172",2018-10-25,"std",NA
"173",2018-10-26,"raisin",18.5
"174",2018-10-26,"simone",10.5
"175",2018-10-26,"gagne",10.6875
"176",2018-10-26,"std",NA
"177",2018-10-27,"raisin",18.625
"178",2018-10-27,"simone",10.5625
"179",2018-10-27,"gagne",10.75
"180",2018-10-27,"std",NA
"181",2018-10-28,"raisin",18.375
"182",2018-10-28,"simone",10.5625
"183",2018-10-28,"gagne",10.75
"184",2018-10-28,"std",NA
"185",2018-10-29,"raisin",18.5625
"186",2018-10-29,"simone",10.5
"187",2018-10-29,"gagne",10.625
"188",2018-10-29,"std",NA
"189",2018-10-30,"raisin",18.5
"190",2018-10-30,"simone",10.5625
"191",2018-10-30,"gagne",10.625
"192",2018-10-30,"std",NA
"193",2018-10-31,"raisin",18.4375
"194",2018-10-31,"simone",10.625
"195",2018-10-31,"gagne",10.75
"196",2018-10-31,"std",20.975
"197",2018-11-01,"raisin",18.4375
"198",2018-11-01,"simone",10.5
"199",2018-11-01,"gagne",10.6875
"200",2018-11-01,"std",NA
"201",2018-11-02,"raisin",18.375
"202",2018-11-02,"simone",10.375
"203",2018-11-02,"gagne",10.5625
"204",2018-11-02,"std",NA
"205",2018-11-04,"raisin",18.6875
"206",2018-11-04,"simone",10.6875
"207",2018-11-04,"gagne",10.8125
"208",2018-11-04,"std",NA
"209",2018-11-05,"raisin",18.4375
"210",2018-11-05,"simone",10.5
"211",2018-11-05,"gagne",10.6875
"212",2018-11-05,"std",NA
"213",2018-11-06,"raisin",18.4375
"214",2018-11-06,"simone",10.5
"215",2018-11-06,"gagne",10.75
"216",2018-11-06,"std",20.975
"217",2018-11-18,"raisin",19.4375
"218",2018-11-18,"simone",NA
"219",2018-11-18,"gagne",NA
"220",2018-11-18,"std",NA
"221",2018-11-19,"raisin",19
"222",2018-11-19,"simone",10.4375
"223",2018-11-19,"gagne",10.875
"224",2018-11-19,"std",NA
"225",2018-11-20,"raisin",18.5625
"226",2018-11-20,"simone",10.4375
"227",2018-11-20,"gagne",10.5625
"228",2018-11-20,"std",NA
"229",2018-11-21,"raisin",18.4375
"230",2018-11-21,"simone",10.5
"231",2018-11-21,"gagne",10.6875
"232",2018-11-21,"std",NA
"233",2018-11-22,"raisin",18.5
"234",2018-11-22,"simone",10.3125
"235",2018-11-22,"gagne",10.6875
"236",2018-11-22,"std",NA
"237",2018-11-23,"raisin",18.4375
"238",2018-11-23,"simone",10.25
"239",2018-11-23,"gagne",10.5
"240",2018-11-23,"std",NA
"241",2018-11-29,"raisin",18.3125
"242",2018-11-29,"simone",10.5
"243",2018-11-29,"gagne",10.625
"244",2018-11-29,"std",NA
"245",2018-12-01,"raisin",18.25
"246",2018-12-01,"simone",10.375
"247",2018-12-01,"gagne",10.4375
"248",2018-12-01,"std",NA
"249",2018-12-04,"raisin",18.4375
"250",2018-12-04,"simone",10.375
"251",2018-12-04,"gagne",10.625
"252",2018-12-04,"std",NA
"253",2018-12-05,"raisin",18.25
"254",2018-12-05,"simone",10.4375
"255",2018-12-05,"gagne",10.75
"256",2018-12-05,"std",NA
"257",2018-12-06,"raisin",18.1875
"258",2018-12-06,"simone",10.5
"259",2018-12-06,"gagne",10.6875
"260",2018-12-06,"std",NA
"261",2018-12-08,"raisin",18.25
"262",2018-12-08,"simone",10.6875
"263",2018-12-08,"gagne",10.875
"264",2018-12-08,"std",NA
"265",2018-12-09,"raisin",18.1875
"266",2018-12-09,"simone",10.5
"267",2018-12-09,"gagne",10.8125
"268",2018-12-09,"std",NA
"269",2018-12-10,"raisin",18.125
"270",2018-12-10,"simone",NA
"271",2018-12-10,"gagne",NA
"272",2018-12-10,"std",NA
"273",2018-12-11,"raisin",18.25
"274",2018-12-11,"simone",10.625
"275",2018-12-11,"gagne",10.875
"276",2018-12-11,"std",NA
"277",2018-12-17,"raisin",17.9375
"278",2018-12-17,"simone",10.125
"279",2018-12-17,"gagne",10.375
"280",2018-12-17,"std",NA
"281",2018-12-18,"raisin",17.875
"282",2018-12-18,"simone",10.125
"283",2018-12-18,"gagne",10.6875
"284",2018-12-18,"std",NA
"285",2019-01-08,"raisin",17.9375
"286",2019-01-08,"simone",10
"287",2019-01-08,"gagne",10.3125
"288",2019-01-08,"std",NA
"289",2019-01-10,"raisin",17.8125
"290",2019-01-10,"simone",10.125
"291",2019-01-10,"gagne",10.375
"292",2019-01-10,"std",NA
"293",2019-01-14,"raisin",17.875
"294",2019-01-14,"simone",9.9375
"295",2019-01-14,"gagne",10.3125
"296",2019-01-14,"std",NA
"297",2019-01-17,"raisin",17.8125
"298",2019-01-17,"simone",10.375
"299",2019-01-17,"gagne",10.375
"300",2019-01-17,"std",20.9625
"301",2019-01-19,"raisin",17.75
"302",2019-01-19,"simone",10.125
"303",2019-01-19,"gagne",10.375
"304",2019-01-19,"std",NA
"305",NA,"raisin",17.8125
"306",NA,"simone",10.4375
"307",NA,"gagne",10.5625
"308",NA,"std",NA
